Jackson National Variable Annuity Hedge Program Q1 2016,,,,,,,
,,,,,,,
,Count,,,,,,
Call Options,13,,,,,,
Put Options,114,,,,,,
Barrier Puts,11,,,,,,
Hybrids,49,,,,,,
Options on Forward-Starting Swaps,21,,,,,,
Swaptions,2,,,No Info,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
S+P Call Option Summary,,,,,,,
Time to Expiry (Yrs),,,,,,,
All Less than one year,,,,,,,
"Notional for all is 1,000,000,000",,,,,,,
Average Strike is 2286.85,,,,,,,
,,,,,,,
,,,,,,,
S+P Put Option Summary,,,,,,,
Time to Expiry (yrs),,,,,,,
All less than one year,,,,,,,
"Of all puts, 24 are a combination of the puyrchase of two puts and the sale of one put with a strike in the between the other two",,,,,,,
"Of all puts, 28 are simultaneous purchase one put and the sale of one put with a lower strike",,,,,,,
Barrier Puts,,,,,,,
Average KnockOut,,,,,,,
1700,,,,,,,
,,,,,,,
,,,,,,,
Hybrids,,,,,,,
All puts on S&P,,,,,,,
,,,,,,,
,0.0075,0.01,0.0125,0.014,0.015,0.0175,0.02
2 YR,1,2,0,0,0,0,0
5 YR,0,0,6,1,17,1,0
10 YR,0,0,0,0,3,9,9
,,,,,,,
,,,,,,,
,,,,,,,
Options on Forward-Starting Swaps,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Swaptions,,,,,,,
